clause_text,risk_index,label,probability_of_risk,category,source
Husband central door. Example point program high school later. We may charge a reactivation fee after 30 days of inactivity.,medium,0,0.5,termination_rights,synthetic_template
Three including heavy majority week energy. Guess share require police will detail. Your subscription may renew automatically unless cancelled manually.,medium,0,0.64,third_party_sharing,semi_random_generated
Officer its by never future account bed. Interest rates can reach up to 42% annually.,high,1,0.97,consent_clarity,semi_random_generated
What small south minute weight eat officer. Your subscription may renew automatically unless cancelled manually.,medium,0,0.51,interest_rates,synthetic_template
Already left growth with condition. Personal data will only be used to provide requested services.,low,0,0.0,payment_terms,synthetic_template
You teacher material floor speak finally. Recently investment article kitchen station rise. We may modify the terms without prior notice to the user.,high,1,1.0,privacy_data_usage,synthetic_template
Country human bed station cup. Late payment will incur a recurring penalty of 25% per month.,high,1,0.92,consent_clarity,synthetic_template
Task involve however bed. Collected personal data may be shared with affiliates without your consent.,high,1,0.96,termination_rights,synthetic_template
Family inside same war government boy eight on. User data might be shared for analytics under anonymized conditions.,medium,0,0.54,privacy_data_usage,semi_random_generated
Word old far avoid better practice moment. Which itself check information. You may terminate your agreement at any time with a 7-day notice.,low,0,0.41,penalty_clauses,semi_random_generated
Side wear others person once. Data sharing with third parties occurs only after explicit consent.,low,0,0.36,payment_terms,synthetic_template
Floor any center all. Your subscription may renew automatically unless cancelled manually.,medium,0,0.83,third_party_sharing,synthetic_template
There not a over training. Personal data will only be used to provide requested services.,low,0,0.27,penalty_clauses,synthetic_template
Common tax picture. The company has the right to terminate services at its sole discretion.,high,1,0.94,privacy_data_usage,synthetic_template
Generation red southern western unit finally. Personal data will only be used to provide requested services.,low,0,0.29,late_fees,semi_random_generated
Environment both rather pattern piece half three. You may terminate your agreement at any time with a 7-day notice.,low,0,0.03,termination_rights,synthetic_template
Worker budget per billion. The company has the right to terminate services at its sole discretion.,high,1,0.93,privacy_data_usage,synthetic_template
Peace she chance medical short government. User data might be shared for analytics under anonymized conditions.,medium,0,0.76,third_party_sharing,synthetic_template
